REF;AbName
304163;TotalSeq™-C0063 anti-human CD45RA Antibody 
304259;TotalSeq™-C0087 anti-human CD45RO Antibody
304851;TotalSeq™-C0147 anti-human CD62L Antibody 
302853;TotalSeq™-C0154 anti-human CD27 Antibody 
302649;TotalSeq™-C0085 anti-human CD25 Antibody 
310951;TotalSeq™-C0146 anti-human CD69 Antibody 
303543;TotalSeq™-C0389 anti-human CD38 Antibody
329963;TotalSeq™-C0088 anti-human CD279 (PD-1) Antibody
353747;TotalSeq™-C0140 anti-human CD183 (CXCR3) Antibody
350233;TotalSeq™-C0145 anti-human CD103 (Integrin ?E) Antibody
394661;TotalSeq™-C0251 anti-human Hashtag 1 Antibody. Quotation PV3Q68181 (scRNAseq)
394663;TotalSeq™-C0252 anti-human Hashtag 2 Antibody Quotation PV3Q68181 (scRNAseq)
394665;TotalSeq™-C0253 anti-human Hashtag 3 Antibody Quotation PV3Q68181 (scRNAseq)
394667;TotalSeq™-C0254 anti-human Hashtag 4 Antibody Quotation PV3Q68181 (scRNAseq)
394669;TotalSeq™-C0255 anti-human Hashtag 5 Antibody Quotation PV3Q68181 (scRNAseq)
394671;TotalSeq™-C0256 anti-human Hashtag 6 Antibody Quotation PV3Q68181 (scRNAseq)
394673;TotalSeq™-C0257 anti-human Hashtag 7 Antibody Quotation PV3Q68181 (scRNAseq)
394675;TotalSeq™-C0258 anti-human Hashtag 8 Antibody Quotation PV3Q68181 (scRNAseq)
394677;TotalSeq™-C0259 anti-human Hashtag 9 Antibody Quotation PV3Q68181 (scRNAseq)
